event_date,root_zone_name,total_events
2025-07-10,"Корпус № 4 Приемная комиссия",73
2025-07-10,"Корпус №10",583
2025-07-10,"Корпус №11",569
2025-07-10,"Корпус №12",541
2025-07-10,"Корпус №16",380
2025-07-10,"Корпус №17",369
2025-07-10,"Корпус №3",83
2025-07-10,"Корпус №4",555
2025-07-10,"Корпус №5",673
2025-07-10,"Общежитие 1",621
2025-07-10,"Общежитие 3",579
2025-07-10,"Общежитие 4",397
2025-07-10,"Общежитие 5",847
2025-07-11,"Корпус № 4 Приемная комиссия",65
2025-07-11,"Корпус №10",681
2025-07-11,"Корпус №11",526
2025-07-11,"Корпус №12",510
2025-07-11,"Корпус №16",380
2025-07-11,"Корпус №17",336
2025-07-11,"Корпус №3",88
2025-07-11,"Корпус №4",267
2025-07-11,"Корпус №5",573
2025-07-11,"Общежитие 1",572
2025-07-11,"Общежитие 3",555
2025-07-11,"Общежитие 4",449
2025-07-11,"Общежитие 5",904
2025-07-12,"Корпус № 4 Приемная комиссия",16
2025-07-12,"Корпус №10",46
2025-07-12,"Корпус №11",38
2025-07-12,"Корпус №12",66
2025-07-12,"Корпус №16",39
2025-07-12,"Корпус №17",52
2025-07-12,"Корпус №4",81
2025-07-12,"Корпус №5",61
2025-07-12,"Общежитие 1",436
2025-07-12,"Общежитие 3",542
2025-07-12,"Общежитие 4",315
2025-07-12,"Общежитие 5",693
2025-07-13,"Корпус № 4 Приемная комиссия",1
2025-07-13,"Корпус №10",1
2025-07-13,"Корпус №11",22
2025-07-13,"Корпус №12",13
2025-07-13,"Корпус №17",37
2025-07-13,"Корпус №4",12
2025-07-13,"Корпус №5",12
2025-07-13,"Общежитие 1",381
2025-07-13,"Общежитие 3",491
2025-07-13,"Общежитие 4",288
2025-07-13,"Общежитие 5",564
2025-07-14,"Корпус № 4 Приемная комиссия",70
2025-07-14,"Корпус №10",184
2025-07-14,"Корпус №11",547
2025-07-14,"Корпус №12",610
2025-07-14,"Корпус №13",6
2025-07-14,"Корпус №16",39
2025-07-14,"Корпус №17",305
2025-07-14,"Корпус №3",25
2025-07-14,"Корпус №4",257
2025-07-14,"Корпус №5",363
2025-07-14,"Общежитие 1",551
2025-07-14,"Общежитие 3",490
2025-07-14,"Общежитие 4",354
2025-07-14,"Общежитие 5",786
2025-07-15,"Корпус № 4 Приемная комиссия",15
2025-07-15,"Корпус №10",111
2025-07-15,"Корпус №11",410
2025-07-15,"Корпус №12",495
2025-07-15,"Корпус №13",2
2025-07-15,"Корпус №16",73
2025-07-15,"Корпус №17",237
2025-07-15,"Корпус №3",70
2025-07-15,"Корпус №4",205
2025-07-15,"Корпус №5",410
2025-07-15,"Общежитие 1",490
2025-07-15,"Общежитие 3",507
2025-07-15,"Общежитие 4",275
2025-07-15,"Общежитие 5",731
2025-07-16,"Корпус № 4 Приемная комиссия",79
2025-07-16,"Корпус №10",136
2025-07-16,"Корпус №11",437
2025-07-16,"Корпус №12",445
2025-07-16,"Корпус №16",94
2025-07-16,"Корпус №17",267
2025-07-16,"Корпус №3",85
2025-07-16,"Корпус №4",220
2025-07-16,"Корпус №5",348
2025-07-16,"Корпус №6",18
2025-07-16,"Общежитие 1",459
2025-07-16,"Общежитие 3",505
2025-07-16,"Общежитие 4",363
2025-07-16,"Общежитие 5",748
2025-07-17,"Корпус № 4 Приемная комиссия",33
2025-07-17,"Корпус №10",234
2025-07-17,"Корпус №11",401
2025-07-17,"Корпус №12",422
2025-07-17,"Корпус №13",2
2025-07-17,"Корпус №16",45
2025-07-17,"Корпус №17",210
2025-07-17,"Корпус №3",75
2025-07-17,"Корпус №4",192
2025-07-17,"Корпус №5",316
2025-07-17,"Корпус №6",52
2025-07-17,"Общежитие 1",443
2025-07-17,"Общежитие 3",468
2025-07-17,"Общежитие 4",304
2025-07-17,"Общежитие 5",856
2025-07-18,"Корпус № 4 Приемная комиссия",80
2025-07-18,"Корпус №10",237
2025-07-18,"Корпус №11",347
2025-07-18,"Корпус №12",495
2025-07-18,"Корпус №16",105
2025-07-18,"Корпус №17",210
2025-07-18,"Корпус №3",127
2025-07-18,"Корпус №4",179
2025-07-18,"Корпус №5",268
2025-07-18,"Корпус №6",54
2025-07-18,"Общежитие 1",397
2025-07-18,"Общежитие 3",407
2025-07-18,"Общежитие 4",270
2025-07-18,"Общежитие 5",697
2025-07-19,"Корпус № 4 Приемная комиссия",16
2025-07-19,"Корпус №10",7
2025-07-19,"Корпус №11",40
2025-07-19,"Корпус №12",51
2025-07-19,"Корпус №16",25
2025-07-19,"Корпус №17",38
2025-07-19,"Корпус №3",33
2025-07-19,"Корпус №4",53
2025-07-19,"Корпус №5",141
2025-07-19,"Корпус №6",8
2025-07-19,"Общежитие 1",445
2025-07-19,"Общежитие 3",398
2025-07-19,"Общежитие 4",290
2025-07-19,"Общежитие 5",783
2025-07-20,"Корпус № 4 Приемная комиссия",3
2025-07-20,"Корпус №10",1
2025-07-20,"Корпус №11",18
2025-07-20,"Корпус №17",16
2025-07-20,"Корпус №4",2
2025-07-20,"Корпус №5",8
2025-07-20,"Общежитие 1",358
2025-07-20,"Общежитие 3",365
2025-07-20,"Общежитие 4",209
2025-07-20,"Общежитие 5",798
2025-07-21,"Ишим Корпус №1",50
2025-07-21,"Ишим Корпус №5",2
2025-07-21,"Ишим Общежитие",2
2025-07-21,"Корпус № 4 Приемная комиссия",52
2025-07-21,"Корпус №10",72
2025-07-21,"Корпус №11",389
2025-07-21,"Корпус №12",399
2025-07-21,"Корпус №13",17
2025-07-21,"Корпус №16",40
2025-07-21,"Корпус №17",276
2025-07-21,"Корпус №3",107
2025-07-21,"Корпус №4",160
2025-07-21,"Корпус №5",280
2025-07-21,"Корпус №6",57
2025-07-21,"Общежитие 1",390
2025-07-21,"Общежитие 3",477
2025-07-21,"Общежитие 4",283
2025-07-21,"Общежитие 5",811
2025-07-22,"Ишим Корпус №1",72
2025-07-22,"Ишим Корпус №5",4
2025-07-22,"Корпус № 4 Приемная комиссия",9
2025-07-22,"Корпус №10",74
2025-07-22,"Корпус №11",295
2025-07-22,"Корпус №12",343
2025-07-22,"Корпус №13",2
2025-07-22,"Корпус №16",22
2025-07-22,"Корпус №17",247
2025-07-22,"Корпус №19",309
2025-07-22,"Корпус №3",80
2025-07-22,"Корпус №4",161
2025-07-22,"Корпус №5",235
2025-07-22,"Корпус №6",102
2025-07-22,"Общежитие 1",391
2025-07-22,"Общежитие 3",416
2025-07-22,"Общежитие 4",236
2025-07-22,"Общежитие 5",869
2025-07-23,"Ишим Корпус №1",84
2025-07-23,"Ишим Корпус №5",5
2025-07-23,"Ишим Общежитие",2
2025-07-23,"Корпус № 4 Приемная комиссия",32
2025-07-23,"Корпус №10",52
2025-07-23,"Корпус №11",288
2025-07-23,"Корпус №12",335
2025-07-23,"Корпус №16",15
2025-07-23,"Корпус №17",264
2025-07-23,"Корпус №19",361
2025-07-23,"Корпус №3",89
2025-07-23,"Корпус №4",129
2025-07-23,"Корпус №5",242
2025-07-23,"Корпус №6",48
2025-07-23,"Общежитие 1",386
2025-07-23,"Общежитие 3",390
2025-07-23,"Общежитие 4",250
2025-07-23,"Общежитие 5",1022
2025-07-24,"Ишим Корпус №1",28
2025-07-24,"Ишим Корпус №5",1
2025-07-24,"Корпус № 4 Приемная комиссия",45
2025-07-24,"Корпус №10",72
2025-07-24,"Корпус №11",596
2025-07-24,"Корпус №12",319
2025-07-24,"Корпус №16",46
2025-07-24,"Корпус №17",297
2025-07-24,"Корпус №19",328
2025-07-24,"Корпус №3",74
2025-07-24,"Корпус №4",143
2025-07-24,"Корпус №5",208
2025-07-24,"Корпус №6",39
2025-07-24,"Общежитие 1",375
2025-07-24,"Общежитие 3",369
2025-07-24,"Общежитие 4",252
2025-07-24,"Общежитие 5",667
2025-07-25,"Ишим Корпус №1",49
2025-07-25,"Корпус № 4 Приемная комиссия",45
2025-07-25,"Корпус №10",61
2025-07-25,"Корпус №11",286
2025-07-25,"Корпус №12",285
2025-07-25,"Корпус №16",16
2025-07-25,"Корпус №17",189
2025-07-25,"Корпус №19",371
2025-07-25,"Корпус №3",65
2025-07-25,"Корпус №4",198
2025-07-25,"Корпус №5",427
2025-07-25,"Корпус №6",49
2025-07-25,"Общежитие 1",349
2025-07-25,"Общежитие 3",374
2025-07-25,"Общежитие 4",194
2025-07-25,"Общежитие 5",706
2025-07-26,"Корпус № 4 Приемная комиссия",2
2025-07-26,"Корпус №11",50
2025-07-26,"Корпус №12",29
2025-07-26,"Корпус №16",6
2025-07-26,"Корпус №17",24
2025-07-26,"Корпус №19",42
2025-07-26,"Корпус №3",3
2025-07-26,"Корпус №4",31
2025-07-26,"Корпус №5",14
2025-07-26,"Корпус №6",5
2025-07-26,"Общежитие 1",347
2025-07-26,"Общежитие 3",338
2025-07-26,"Общежитие 4",171
2025-07-26,"Общежитие 5",581
2025-07-27,"Корпус № 4 Приемная комиссия",4
2025-07-27,"Корпус №11",54
2025-07-27,"Корпус №12",1
2025-07-27,"Корпус №17",19
2025-07-27,"Корпус №19",48
2025-07-27,"Корпус №4",6
2025-07-27,"Корпус №5",16
2025-07-27,"Общежитие 1",303
2025-07-27,"Общежитие 3",364
2025-07-27,"Общежитие 4",158
2025-07-27,"Общежитие 5",593
2025-07-28,"Ишим Корпус №1",80
2025-07-28,"Ишим Корпус №5",1
2025-07-28,"Корпус № 4 Приемная комиссия",16
2025-07-28,"Корпус №10",57
2025-07-28,"Корпус №11",295
2025-07-28,"Корпус №12",384
2025-07-28,"Корпус №16",6
2025-07-28,"Корпус №17",290
2025-07-28,"Корпус №19",377
2025-07-28,"Корпус №3",47
2025-07-28,"Корпус №4",158
2025-07-28,"Корпус №5",227
2025-07-28,"Корпус №6",62
2025-07-28,"Общежитие 1",372
2025-07-28,"Общежитие 3",385
2025-07-28,"Общежитие 4",168
2025-07-28,"Общежитие 5",724
2025-07-29,"Ишим Корпус №1",78
2025-07-29,"Ишим Корпус №5",2
2025-07-29,"Ишим Общежитие",8
2025-07-29,"Кирова 25 (кадры, док обеспечение)",2
2025-07-29,"Корпус № 4 Приемная комиссия",27
2025-07-29,"Корпус №10",70
2025-07-29,"Корпус №11",351
2025-07-29,"Корпус №12",324
2025-07-29,"Корпус №16",12
2025-07-29,"Корпус №17",310
2025-07-29,"Корпус №19",291
2025-07-29,"Корпус №3",95
2025-07-29,"Корпус №4",163
2025-07-29,"Корпус №5",191
2025-07-29,"Корпус №6",31
2025-07-29,"Общежитие 1",316
2025-07-29,"Общежитие 3",342
2025-07-29,"Общежитие 4",186
2025-07-29,"Общежитие 5",729
2025-07-30,"Ишим Корпус №1",87
2025-07-30,"Ишим Корпус №5",1
2025-07-30,"Ишим Общежитие",3
2025-07-30,"Кирова 25 (кадры, док обеспечение)",355
2025-07-30,"Корпус № 4 Приемная комиссия",15
2025-07-30,"Корпус №10",15
2025-07-30,"Корпус №11",365
2025-07-30,"Корпус №12",332
2025-07-30,"Корпус №16",40
2025-07-30,"Корпус №17",224
2025-07-30,"Корпус №19",285
2025-07-30,"Корпус №22 Ленина 12 (Кап строй)",32
2025-07-30,"Корпус №3",11
2025-07-30,"Корпус №4",146
2025-07-30,"Корпус №5",185
2025-07-30,"Корпус №6",88
2025-07-30,"Общежитие 1",291
2025-07-30,"Общежитие 3",366
2025-07-30,"Общежитие 4",173
2025-07-30,"Общежитие 5",521
2025-07-31,"Ишим Корпус №1",73
2025-07-31,"Ишим Корпус №5",1
2025-07-31,"Кирова 25 (кадры, док обеспечение)",342
2025-07-31,"Корпус № 4 Приемная комиссия",37
2025-07-31,"Корпус №10",46
2025-07-31,"Корпус №11",404
2025-07-31,"Корпус №12",316
2025-07-31,"Корпус №16",7
2025-07-31,"Корпус №17",187
2025-07-31,"Корпус №19",261
2025-07-31,"Корпус №22 Ленина 12 (Кап строй)",55
2025-07-31,"Корпус №3",52
2025-07-31,"Корпус №4",144
2025-07-31,"Корпус №5",215
2025-07-31,"Корпус №6",47
2025-07-31,"Общежитие 1",213
2025-07-31,"Общежитие 3",256
2025-07-31,"Общежитие 4",220
2025-07-31,"Общежитие 5",489
2025-08-01,"Ишим Корпус №1",42
2025-08-01,"Ишим Корпус №5",1
2025-08-01,"Ишим Общежитие",1
2025-08-01,"Кирова 25 (кадры, док обеспечение)",365
2025-08-01,"Корпус № 4 Приемная комиссия",5
2025-08-01,"Корпус №10",23
2025-08-01,"Корпус №11",342
2025-08-01,"Корпус №12",283
2025-08-01,"Корпус №16",33
2025-08-01,"Корпус №17",195
2025-08-01,"Корпус №19",235
2025-08-01,"Корпус №22 Ленина 12 (Кап строй)",26
2025-08-01,"Корпус №3",102
2025-08-01,"Корпус №4",158
2025-08-01,"Корпус №5",217
2025-08-01,"Корпус №6",41
2025-08-01,"Общежитие 1",169
2025-08-01,"Общежитие 3",77
2025-08-01,"Общежитие 4",88
2025-08-01,"Общежитие 5",350
2025-08-02,"Кирова 25 (кадры, док обеспечение)",2
2025-08-02,"Корпус № 4 Приемная комиссия",3
2025-08-02,"Корпус №11",46
2025-08-02,"Корпус №12",36
2025-08-02,"Корпус №16",6
2025-08-02,"Корпус №17",21
2025-08-02,"Корпус №19",68
2025-08-02,"Корпус №22 Ленина 12 (Кап строй)",11
2025-08-02,"Корпус №3",20
2025-08-02,"Корпус №4",7
2025-08-02,"Корпус №5",16
2025-08-02,"Корпус №6",28
2025-08-02,"Общежитие 1",161
2025-08-02,"Общежитие 3",32
2025-08-02,"Общежитие 4",48
2025-08-02,"Общежитие 5",250
2025-08-03,"Корпус № 4 Приемная комиссия",4
2025-08-03,"Корпус №10",8
2025-08-03,"Корпус №11",96
2025-08-03,"Корпус №17",18
2025-08-03,"Корпус №19",50
2025-08-03,"Корпус №22 Ленина 12 (Кап строй)",10
2025-08-03,"Корпус №3",2
2025-08-03,"Корпус №4",7
2025-08-03,"Корпус №5",14
2025-08-03,"Корпус №6",10
2025-08-03,"Общежитие 1",160
2025-08-03,"Общежитие 3",36
2025-08-03,"Общежитие 4",76
2025-08-03,"Общежитие 5",370
2025-08-04,"Общежитие 4",4
2025-08-04,"Общежитие 5",3
2025-08-05,"Ишим Корпус №1",2
2025-08-05,"Ишим Корпус №5",1
2025-08-05,"Кирова 25 (кадры, док обеспечение)",52
2025-08-05,"Корпус №10",8
2025-08-05,"Корпус №11",43
2025-08-05,"Корпус №12",67
2025-08-05,"Корпус №16",4
2025-08-05,"Корпус №17",55
2025-08-05,"Корпус №19",131
2025-08-05,"Корпус №22 Ленина 12 (Кап строй)",6
2025-08-05,"Корпус №3",19
2025-08-05,"Корпус №4",27
2025-08-05,"Корпус №5",44
2025-08-05,"Корпус №6",29
2025-08-05,"Корпус №7",3
2025-08-05,"Общежитие 1",84
2025-08-05,"Общежитие 3",19
2025-08-05,"Общежитие 4",48
2025-08-05,"Общежитие 5",102
2025-08-06,"Ишим Корпус №1",32
2025-08-06,"Ишим Корпус №5",2
2025-08-06,"Кирова 25 (кадры, док обеспечение)",320
2025-08-06,"Корпус № 4 Приемная комиссия",16
2025-08-06,"Корпус №10",28
2025-08-06,"Корпус №11",367
2025-08-06,"Корпус №12",300
2025-08-06,"Корпус №16",16
2025-08-06,"Корпус №17",187
2025-08-06,"Корпус №19",332
2025-08-06,"Корпус №22 Ленина 12 (Кап строй)",32
2025-08-06,"Корпус №3",71
2025-08-06,"Корпус №4",147
2025-08-06,"Корпус №5",175
2025-08-06,"Корпус №6",19
2025-08-06,"Корпус №7",61
2025-08-06,"Общежитие 1",164
2025-08-06,"Общежитие 3",23
2025-08-06,"Общежитие 4",43
2025-08-06,"Общежитие 5",399
2025-08-07,"Ишим Корпус №1",44
2025-08-07,"Ишим Корпус №5",13
2025-08-07,"Кирова 25 (кадры, док обеспечение)",370
2025-08-07,"Корпус № 4 Приемная комиссия",13
2025-08-07,"Корпус №10",20
2025-08-07,"Корпус №11",316
2025-08-07,"Корпус №12",320
2025-08-07,"Корпус №16",13
2025-08-07,"Корпус №17",224
2025-08-07,"Корпус №19",317
2025-08-07,"Корпус №22 Ленина 12 (Кап строй)",41
2025-08-07,"Корпус №22 Ленина 12 (СГИ)",47
2025-08-07,"Корпус №3",51
2025-08-07,"Корпус №4",146
2025-08-07,"Корпус №5",194
2025-08-07,"Корпус №6",38
2025-08-07,"Корпус №7",17
2025-08-07,"Общежитие 1",137
2025-08-07,"Общежитие 3",23
2025-08-07,"Общежитие 4",19
2025-08-07,"Общежитие 5",464
2025-08-08,"Ишим Корпус №1",31
2025-08-08,"Ишим Корпус №5",11
2025-08-08,"Ишим Общежитие",9
2025-08-08,"Кирова 25 (кадры, док обеспечение)",360
2025-08-08,"Корпус № 4 Приемная комиссия",39
2025-08-08,"Корпус №10",18
2025-08-08,"Корпус №11",247
2025-08-08,"Корпус №12",221
2025-08-08,"Корпус №13",3
2025-08-08,"Корпус №16",18
2025-08-08,"Корпус №17",174
2025-08-08,"Корпус №19",479
2025-08-08,"Корпус №22 Ленина 12 (Кап строй)",30
2025-08-08,"Корпус №22 Ленина 12 (СГИ)",72
2025-08-08,"Корпус №3",78
2025-08-08,"Корпус №4",123
2025-08-08,"Корпус №5",132
2025-08-08,"Корпус №6",38
2025-08-08,"Корпус №7",57
2025-08-08,"Общежитие 1",159
2025-08-08,"Общежитие 3",13
2025-08-08,"Общежитие 4",83
2025-08-08,"Общежитие 5",299
2025-08-09,"Корпус № 4 Приемная комиссия",5
2025-08-09,"Корпус №10",6
2025-08-09,"Корпус №11",50
2025-08-09,"Корпус №12",24
2025-08-09,"Корпус №16",6
2025-08-09,"Корпус №17",20
2025-08-09,"Корпус №19",299
2025-08-09,"Корпус №22 Ленина 12 (Кап строй)",4
2025-08-09,"Корпус №22 Ленина 12 (СГИ)",5
2025-08-09,"Корпус №3",11
2025-08-09,"Корпус №4",16
2025-08-09,"Корпус №5",51
2025-08-09,"Корпус №6",8
2025-08-09,"Корпус №7",20
2025-08-09,"Общежитие 1",143
2025-08-09,"Общежитие 3",25
2025-08-09,"Общежитие 4",10
2025-08-09,"Общежитие 5",353
2025-08-10,"Кирова 25 (кадры, док обеспечение)",9
2025-08-10,"Корпус №11",13
2025-08-10,"Корпус №17",12
2025-08-10,"Корпус №19",213
2025-08-10,"Корпус №22 Ленина 12 (СГИ)",1
2025-08-10,"Корпус №3",3
2025-08-10,"Корпус №4",10
2025-08-10,"Корпус №5",23
2025-08-10,"Корпус №7",4
2025-08-10,"Общежитие 1",117
2025-08-10,"Общежитие 3",22
2025-08-10,"Общежитие 4",36
2025-08-10,"Общежитие 5",445
2025-08-11,"Ишим Корпус №1",20
2025-08-11,"Ишим Корпус №5",4
2025-08-11,"Кирова 25 (кадры, док обеспечение)",382
2025-08-11,"Корпус № 4 Приемная комиссия",22
2025-08-11,"Корпус №10",30
2025-08-11,"Корпус №11",444
2025-08-11,"Корпус №12",368
2025-08-11,"Корпус №16",60
2025-08-11,"Корпус №17",194
2025-08-11,"Корпус №19",427
2025-08-11,"Корпус №22 Ленина 12 (Кап строй)",30
2025-08-11,"Корпус №22 Ленина 12 (СГИ)",59
2025-08-11,"Корпус №3",120
